ID;Name;Sub_ID;Sub_Name;Field_ID;Field_Name;Domain_ID;Domain_Name;Keywords_1;Keywords_2;Keywords_3;Keywords_4;Keywords_5;Keywords_6;Keywords_7;Keywords_8;Keywords_9;Keywords_10
T10077;Molecular Mechanisms of Synaptic Plasticity and Neurological Disorders;2804;Cellular and Molecular Neuroscience;28;Neuroscience;1;Life Sciences;Synaptic Plasticity;Neurotransmission;GABAergic;Glutamate Receptors;Neuronal Circuits;Astrocyte Function;NMDA Receptors;Dendritic Spines;Long-Term Potentiation;Neurological Disorders
T10001;Tectonic and Geochronological Evolution of Orogens;1908;Geophysics;19;Earth and Planetary Sciences;3;Physical Sciences;Zircon;Geochronology;Tectonics;Granitic Rocks;Isotopic Composition;Subduction Zones;Mantle Evolution;Plate Tectonics;Thermodynamic Modeling;Continental Growth
T10002;Advancements in Density Functional Theory;3107;Atomic and Molecular Physics, and Optics;31;Physics and Astronomy;3;Physical Sciences;Density Functional Theory;Dispersion Correction;Ab Initio Parametrization;Wavefunction Analyzer;Semiempirical Methods;Van der Waals Interactions;Continuum Solvation Models;Hybrid Density Functionals;Molecular Simulations;Electronic Structure Calculations
T10015;RNA Sequencing Data Analysis;1312;Molecular Biology;13;Biochemistry, Genetics and Molecular Biology;1;Life Sciences;RNA-seq;sequence alignment;phylogenetic analysis;genome annotation;transcript quantification;metagenomics assembly;sequence variation;phylogenetic tree;functional genomics;quality assessment
T10017;Climate Change and Paleoclimatology;1902;Atmospheric Science;19;Earth and Planetary Sciences;3;Physical Sciences;Climate Change;Paleoclimatology;Glacial Cycles;Holocene;Sea Level;Monsoon Dynamics;Greenhouse Warming;Ice Core Records;Solar Influence;Atmospheric CO2
T10487;Impact of Pollinator Decline on Ecosystems and Agriculture;1105;Ecology, Evolution, Behavior and Systematics;11;Agricultural and Biological Sciences;1;Life Sciences;Pollinator Decline;Ecosystem Services;Plant-Animal Interactions;Biodiversity;Crop Pollination;Habitat Fragmentation;Mutualistic Networks;Global Change;Invasive Species;Climate Change
T10521;Ribosome Structure and Translation Mechanisms;1312;Molecular Biology;13;Biochemistry, Genetics and Molecular Biology;1;Life Sciences;Ribosome;Translation;RNA Structure;Genetic Code;Codon Usage;tRNA;Riboswitches;Protein Synthesis;Secondary Structure Prediction;Metabolite Binding
T11020;Natural Killer Cells in Immunity;2403;Immunology;24;Immunology and Microbiology;1;Life Sciences;Natural Killer Cells;NK Cell Recognition;Immune Inhibitory Receptors;NKG2D Immunoreceptor;NK Cell Activation;NK Cell Education;NK Cell Therapy;NK Cell Receptors;NK Cell Development;NK Cell Immunotherapy
T10078;Photocatalytic Materials for Solar Energy Conversion;2105;Renewable Energy, Sustainability and the Environment;21;Energy;3;Physical Sciences;Photocatalyst;Semiconductor;Visible Light;Water Splitting;Graphene;Hydrogen Production;Nanomaterials;Plasmonic;CO2 Reduction;Solar Energy
T10182;Emotion Regulation and Psychopathology in Children and Adolescents;3203;Clinical Psychology;32;Psychology;2;Social Sciences;Emotion Regulation;Psychopathology;Children;Adolescents;Developmental Trajectories;Mental Health;Parenting;Anxiety Disorders;Depression;Behavioral Problems
T10018;Lithium-ion Battery Technology;2208;Electrical and Electronic Engineering;22;Engineering;3;Physical Sciences;Lithium-ion Batteries;Battery Materials;Energy Storage;Nanostructured Anodes;Cathode Materials;Electrochemical Performance;Rechargeable Batteries;Anode Materials;Battery Technology;Electrode Materials
T10086;Mechanisms of Alzheimer's Disease;2737;Physiology;27;Medicine;4;Health Sciences;Amyloid Hypothesis;Tau Pathology;Protein Misfolding;Neuroinflammation;Synaptic Dysfunction;Oxidative Stress;Genetic Association;Aß Oligomers;Neurodegeneration;Therapeutic Strategies
T10581;Neuronal Oscillations in Cortical Networks;2805;Cognitive Neuroscience;28;Neuroscience;1;Life Sciences;Neuronal Oscillations;Cortical Networks;Synchronization;Gamma Rhythms;Neural Activity;Interneurons;Sensory Processing;Working Memory;Neural Synchrony;Cognitive Functions
T10303;Molecular Mechanisms of Photosynthesis and Photoprotection;1312;Molecular Biology;13;Biochemistry, Genetics and Molecular Biology;1;Life Sciences;Photosystem II;Light Harvesting;Electron Transport;Chloroplast Proteins;Cyanobacterial Genomes;Photoinhibition;Rubisco Structure;Plastid Gene Expression;Singlet Oxygen Production;Photosynthetic Acclimation
T11016;Therapeutic Antibodies: Development, Engineering, and Applications;2741;Radiology, Nuclear Medicine and Imaging;27;Medicine;4;Health Sciences;Therapeutic Antibodies;Fc Receptors;Monoclonal Antibodies;Antibody Engineering;Immunoglobulin G;Nanobodies;Antibody Pharmacokinetics;Bispecific Antibodies;Glycosylation;Fc? Receptors
T10030;Electrocatalysis for Energy Conversion;2105;Renewable Energy, Sustainability and the Environment;21;Energy;3;Physical Sciences;Electrocatalysis;Energy Conversion;Oxygen Reduction;Hydrogen Evolution;Catalysts;Water Splitting;Nanomaterials;Fuel Cells;Metal-Organic Frameworks;Sustainable Energy
T10005;Biodiversity Conservation and Ecosystem Management;2309;Nature and Landscape Conservation;23;Environmental Science;3;Physical Sciences;Biodiversity;Conservation;Ecosystem;Invasive Species;Functional Diversity;Habitat Fragmentation;Community Ecology;Global Change;Species Richness;Biological Invasions
T10320;Neural Network Fundamentals and Applications;1702;Artificial Intelligence;17;Computer Science;3;Physical Sciences;Neural Networks;Self-Organizing Maps;Backpropagation Learning;Radial Basis Function Networks;Deep Learning;Artificial Neural Networks;Recurrent Neural Networks;Feedforward Neural Networks;Pattern Classification;Function Approximation
T10123;Molecular Mechanisms of DNA Damage Response;1312;Molecular Biology;13;Biochemistry, Genetics and Molecular Biology;1;Life Sciences;DNA Damage;Repair;Genomic Instability;ATM and ATR Kinases;Homologous Recombination;Cell Cycle Checkpoints;Cancer;Histone H2AX;Chromatin;Genome Stability
T10029;Climate Change and Variability Research;2306;Global and Planetary Change;23;Environmental Science;3;Physical Sciences;Climate Change;Global Warming;Extreme Events;Climate Modeling;Precipitation Extremes;Ocean Circulation;ENSO Variability;Arctic Amplification;Hydrological Cycle;Greenhouse Gas Emissions
T13497;Critical Hermeneutics and Interpretation Studies;1211;Philosophy;12;Arts and Humanities;2;Social Sciences;Hermeneutics;Narrative;Interpretation;History;Philosophy;Ethics;Religion;Cultural Studies;Phenomenology;Identity
T10192;Catalytic Nanomaterials;2505;Materials Chemistry;25;Materials Science;3;Physical Sciences;Catalysis;Nanoparticles;Oxidation;Ceria;Gold;Metal-Support Interactions;Low-Temperature;Selective Oxidation;NOx Reduction;Methane Activation
T10019;Corporate Governance and Financial Performance;1402;Accounting;14;Business, Management and Accounting;2;Social Sciences;Corporate Governance;Investor Protection;Ownership Structure;Financial Constraints;Firm Performance;Dividend Policy;Capital Structure;Board Composition;Institutional Investors;Mergers and Acquisitions
T10083;Graphene: Properties, Synthesis, and Applications;2505;Materials Chemistry;25;Materials Science;3;Physical Sciences;Graphene;Two-dimensional Materials;Carbon Nanotubes;Nanocomposites;Raman Spectroscopy;Chemical Vapor Deposition;Electronic Properties;Graphene Oxide;Nanoribbons;Transparent Conductors
T10044;Protein Structure Prediction and Analysis;1312;Molecular Biology;13;Biochemistry, Genetics and Molecular Biology;1;Life Sciences;Protein;Structure;Prediction;Molecular Dynamics;Force Field;Homology Modeling;Intrinsically Disordered Proteins;Circular Dichroism;Enzyme Catalysis;Macromolecular Crowding
T10301;Mitochondrial Dynamics and Reactive Oxygen Species Regulation;1312;Molecular Biology;13;Biochemistry, Genetics and Molecular Biology;1;Life Sciences;Mitochondria;Reactive Oxygen Species;Oxidative Stress;Mitochondrial Dysfunction;Cell Death;Mitochondrial Fusion;Mitochondrial Fission;Aging;Neurodegenerative Diseases;Metabolic Regulation
T10048;Particle Physics and High-Energy Collider Experiments;3106;Nuclear and High Energy Physics;31;Physics and Astronomy;3;Physical Sciences;Particle Physics;High-Energy Collider;Higgs Boson;Neutrino Mass;Supersymmetry;Quantum Chromodynamics;Standard Model;Muon Anomalous Magnetic Moment;Electroweak Symmetry Breaking;Dark Matter
T10580;Immunobiology of Dendritic Cells;2403;Immunology;24;Immunology and Microbiology;1;Life Sciences;Dendritic Cells;Immunity;Cancer Immunotherapy;Antigen Presentation;Tumor Antigen;Vaccine Adjuvants;T Cell Immunity;Cross-Presentation;Innate Immunity;Therapeutic Vaccines
T10112;Human Immunodeficiency Virus/Acquired Immunodeficiency Syndrome;2406;Virology;24;Immunology and Microbiology;1;Life Sciences;HIV;AIDS;vaccine;antibodies;immune activation;neurocognitive disorders;viral reservoir;T cell;antiretroviral therapy;immune response
T10908;Chiral Separation in Chromatography;1607;Spectroscopy;16;Chemistry;3;Physical Sciences;Chiral Separation;Liquid Chromatography;Gas Chromatography;Enantiomers;Chiral Stationary Phases;High-Performance Liquid Chromatography (HPLC);Hydrophilic Interaction Chromatography (HILIC);Two-Dimensional Chromatography;Enantioselective Analysis;Chirality
T10831;Integrin Signaling in Inflammation and Cancer;2723;Immunology and Allergy;27;Medicine;4;Health Sciences;Integrins;Cell Adhesion;Inflammation;Cancer;Focal Adhesion Kinase;Extracellular Matrix;Leukocyte Migration;Tetraspanins;Ligand Binding;Angiogenesis
T10207;DNA Nanotechnology and Bioanalytical Applications;1312;Molecular Biology;13;Biochemistry, Genetics and Molecular Biology;1;Life Sciences;DNA nanotechnology;self-assembly;biosensors;aptamers;nanoparticles;electrochemistry;molecular machines;nanoscale shapes;biomolecular interactions;cancer diagnostics
T11177;Quantum Coherence in Photosynthesis and Aqueous Systems;3107;Atomic and Molecular Physics, and Optics;31;Physics and Astronomy;3;Physical Sciences;Quantum Coherence;Photosynthesis;Aqueous Systems;Energy Transfer;Vibrational Spectroscopy;Ion Effects;Hydrogen Bonding;Electronic Excitations;Surface Interfaces;Molecular Dynamics
T10155;Role of Nitric Oxide in Health and Disease;2737;Physiology;27;Medicine;4;Health Sciences;Nitric Oxide;Endothelial Dysfunction;Oxidative Stress;Cardiovascular Diseases;Reactive Oxygen Species;NAD(P)H Oxidase;Atherosclerosis;Vascular Function;Inflammation;Mitochondrial Biogenesis
T10037;High-Temperature Superconductivity;3104;Condensed Matter Physics;31;Physics and Astronomy;3;Physical Sciences;High-Temperature Superconductivity;Cuprate Superconductors;Dynamical Mean-Field Theory;Proximity Effects;Quantum Monte Carlo;Electronic Structure Calculations;Ferromagnet Structures;Valence-Bond Ground States;Electron–Phonon Coupling;Stripe Order
T10075;Atmospheric Aerosols and their Impacts;1902;Atmospheric Science;19;Earth and Planetary Sciences;3;Physical Sciences;Atmospheric Aerosols;Black Carbon;Organic Aerosol;Air Quality;Climate Forcing;Aerosol Formation;Emission Modeling;Chemical Composition;Haze Pollution;Tropospheric Chemistry
T10269;Epigenetic Modifications and Their Functional Implications;1312;Molecular Biology;13;Biochemistry, Genetics and Molecular Biology;1;Life Sciences;DNA Methylation;Histone Modification;Epigenetic Reprogramming;Cancer Epigenetics;Transgenerational Inheritance;Chromatin Structure;TET Proteins;Polycomb Complexes;Environmental Epigenomics;Epigenetic Therapy
T10056;Neurobiological Mechanisms of Drug Addiction and Depression;2804;Cellular and Molecular Neuroscience;28;Neuroscience;1;Life Sciences;Dopamine;Serotonin;Reward Circuitry;Genetic Variation;Stress;Neural Plasticity;Prefrontal Cortex;Behavioral Models;Neurotransmitter Systems;Compulsive Behaviors
T10493;Molecular Mechanisms of Ion Channels Regulation;1312;Molecular Biology;13;Biochemistry, Genetics and Molecular Biology;1;Life Sciences;Ion Channels;Voltage-Gated Channels;Calcium Channels;Potassium Channels;Channel Regulation;Membrane Proteins;Neuronal Function;Cell Signaling;Channel Structure;Physiological Roles
T10602;Glycosylation in Health and Disease;1312;Molecular Biology;13;Biochemistry, Genetics and Molecular Biology;1;Life Sciences;Glycosylation;Glycans;Cancer;Immune System;Mucins;Protein Glycosylation;Sialic Acids;Lectins;O-GlcNAc;Therapeutics
T10004;Soil Carbon Dynamics and Nutrient Cycling in Ecosystems;1111;Soil Science;11;Agricultural and Biological Sciences;1;Life Sciences;Soil Carbon Sequestration;Nitrogen Cycle;Microbial Communities;Climate Change;Biochar Application;Ecosystem Functioning;Soil Fertility;Organic Matter Dynamics;Nutrient Limitation;Global Biogeochemical Cycles
T10351;Epidemiology and Management of NAFLD;2713;Epidemiology;27;Medicine;4;Health Sciences;NAFLD;NASH;Liver Fibrosis;Insulin Resistance;Hepatic Steatosis;Liver Biopsy;Metabolic Syndrome;Fatty Liver;Hepatocellular Carcinoma;Non-invasive Assessment
T10062;MicroRNA Regulation in Cancer and Development;1306;Cancer Research;13;Biochemistry, Genetics and Molecular Biology;1;Life Sciences;MicroRNA;Gene Expression;Cancer;Regulation;Biomarkers;Biogenesis;Targeting;Therapeutics;Metastasis;Dysregulation
T10032;Marine Biogeochemistry and Ecosystem Dynamics;1910;Oceanography;19;Earth and Planetary Sciences;3;Physical Sciences;Dissolved Organic Matter;Eutrophication;Harmful Algal Blooms;Oceanic Carbon Cycle;Phytoplankton;Global Warming;Nutrient Limitation;Biological Productivity;Oceanic Oxygen Levels;Climate Change
T10427;Neural Mechanisms of Visual Perception and Processing;2805;Cognitive Neuroscience;28;Neuroscience;1;Life Sciences;Visual Perception;Neural Processing;Perceptual Learning;Cortical Connectivity;Sensory Integration;Retinotopic Mapping;Motion Processing;Binocular Vision;Neuronal Adaptation;Psychophysical Function
T10096;Chemistry and Applications of Metal-Organic Frameworks;1604;Inorganic Chemistry;16;Chemistry;3;Physical Sciences;Metal-Organic Frameworks;Porous Materials;Gas Adsorption;Catalysis;Methane Storage;Crystal Engineering;Chemical Sensors;Drug Delivery;CO2 Capture;Heterogeneous Catalysis
T10031;Regulatory T Cell Development and Function;2403;Immunology;24;Immunology and Microbiology;1;Life Sciences;Foxp3;TGF-ß;CD4+CD25+;Immune Tolerance;Autoimmunity;Thymic Selection;Memory T Cells;IL-2;Tumor Immunity;Immunological Surveillance
T10051;Asthma;2737;Physiology;27;Medicine;4;Health Sciences;Asthma;Allergic Diseases;Eosinophils;Inflammation;Immunology;Phenotypes;Genetics;Treatment;Airway Remodeling;Epidemiology
T10066;Diversity and Function of Gut Microbiome;1312;Molecular Biology;13;Biochemistry, Genetics and Molecular Biology;1;Life Sciences;Gut Microbiota;Microbial Communities;Short-Chain Fatty Acids;Metagenomic Analysis;Host-Microbial Interactions;Obesity-associated Microbiome;Immune Responses;Metabolic Health;Inflammatory Diseases;Dietary Impact
T10010;Global Trends in Obesity and Overweight Research;2739;Public Health, Environmental and Occupational Health;27;Medicine;4;Health Sciences;Obesity;Overweight;Childhood;Prevalence;Health Effects;Physical Activity;Dietary Risks;Epidemiology;Public Health;Adolescents
T10432;G-Quadruplex DNA Structures and Functions;1312;Molecular Biology;13;Biochemistry, Genetics and Molecular Biology;1;Life Sciences;G-Quadruplexes;DNA Structure;Nucleic Acids;Therapeutic Targets;Telomeres;Antisense Oligonucleotides;Biological Functions;Molecular Recognition;Drug Design;Genomic Stability
T10085;Pathophysiology of Parkinson's Disease;2728;Neurology;27;Medicine;4;Health Sciences;Parkinson's Disease;a-Synuclein;Neurodegeneration;Dopaminergic Neurons;Genetic Risk Factors;Oxidative Stress;Diagnostic Criteria;Lewy Body Pathology;Mitochondrial Dysfunction;Non-motor Symptoms
T10026;Galaxy Formation and Evolution in the Universe;3103;Astronomy and Astrophysics;31;Physics and Astronomy;3;Physical Sciences;Galaxies;Cosmology;Black Holes;Stellar Populations;Star Formation;Dark Matter;Cosmic Evolution;Quasars;Sloan Digital Sky Survey;Astrophysical Simulations
T10025;Holographic Derivation of Field Theories and Gravity;3106;Nuclear and High Energy Physics;31;Physics and Astronomy;3;Physical Sciences;Holographic;Field Theories;Gravity;String Theory;Quantum Entanglement;Black Holes;AdS/CFT Correspondence;Supergravity;Conformal Symmetry;Quantum Gravity
T10039;Stellar Astrophysics and Exoplanet Studies;3103;Astronomy and Astrophysics;31;Physics and Astronomy;3;Physical Sciences;Stellar Astrophysics;Exoplanets;Galactic Evolution;Stellar Evolution;Milky Way;Gaia Mission;Planetary Systems;Massive Stars;Astronomical Surveys;Astrophysical Spectroscopy
T10407;Lipid Rafts and Membrane Dynamics;1312;Molecular Biology;13;Biochemistry, Genetics and Molecular Biology;1;Life Sciences;Lipid Rafts;Membrane Lipids;Cholesterol;Membrane Proteins;Cell Membranes;Bilayer Structure;Membrane Organization;Protein-Lipid Interactions;Biological Membranes;Membrane Curvature
T10371;Innate Immune Recognition and Signaling Pathways;2403;Immunology;24;Immunology and Microbiology;1;Life Sciences;Toll-like Receptors;Pattern Recognition Receptors;Inflammation;Innate Antiviral Responses;Cytokine-Mediated Link;Pathogen Recognition;NOD-Like Receptors;Endotoxin Hyporesponsiveness;DAMPs;Adaptive Immunity Regulation
T11434;Electrochemical Detection of Heavy Metal Ions;1603;Electrochemistry;16;Chemistry;3;Physical Sciences;Electrochemical;Detection;Heavy Metal Ions;Bismuth-Coated Electrodes;Anodic Stripping Voltammetry;Nanoparticle Collisions;Graphene-Based Sensors;Scanning Electrochemical Microscopy;Nanoscale Imaging;Sensor Development
T10110;Seismicity and Tectonic Plate Interactions;1908;Geophysics;19;Earth and Planetary Sciences;3;Physical Sciences;Earthquakes;Subduction;Plate Boundaries;Fault Zones;Seismic Deformation;Tectonic Motion;Geodetic Measurements;Seismic Hazard;Slow Slip Events;Frictional Properties
T10604;Regulation of RNA Processing and Function;1312;Molecular Biology;13;Biochemistry, Genetics and Molecular Biology;1;Life Sciences;Alternative Splicing;RNA-Binding Proteins;Phase Separation;mRNA Decay;Stress Granules;Transcriptome;Exon Junctions;Polyadenylation;Nonsense-Mediated Decay;RNA Phase Transitions
T10179;Materials for Electrochemical Supercapacitors;2504;Electronic, Optical and Magnetic Materials;25;Materials Science;3;Physical Sciences;Graphene;Carbon-Based Materials;Electrochemical Capacitors;Pseudocapacitive Materials;Energy Storage;Nanomaterials;Flexible Supercapacitors;Metal-Organic Frameworks;High-Performance Electrodes;Hybrid Energy Storage
T10003;Knowledge Management and Organizational Innovation;1408;Strategy and Management;14;Business, Management and Accounting;2;Social Sciences;Dynamic Capabilities;Knowledge Transfer;Business Models;Innovation Networks;Organizational Learning;Absorptive Capacity;Strategic Alliances;Social Capital;Resource-Based View;Market Orientation
T10839;Pancreatic Islet Dysfunction and Regeneration;2746;Surgery;27;Medicine;4;Health Sciences;Pancreatic Islets;ß-Cell Dysfunction;Insulin Secretion;Diabetes Mellitus;Islet Transplantation;Glucose Homeostasis;Stem Cell Differentiation;Oxidative Stress;Pancreas Development;Endocrine Cell Lineages
T10047;Asset Pricing and Market Efficiency;2003;Finance;20;Economics, Econometrics and Finance;2;Social Sciences;Asset Pricing;Stock Returns;Market Efficiency;Investor Sentiment;Liquidity Risk;Behavioral Finance;Momentum Investing;Market Microstructure;Hedge Funds;Information Content
T10302;Importance and Conservation of Freshwater Biodiversity;2309;Nature and Landscape Conservation;23;Environmental Science;3;Physical Sciences;Freshwater Biodiversity;Conservation Challenges;Flow Regulation;Hydropower Dam Construction;Environmental Flows;Invasive Species;Climate Change;Fisheries Sustainability;Habitat Fragmentation;River Ecosystems
T10529;Effects of Stress on Brain Function and Health;2802;Behavioral Neuroscience;28;Neuroscience;1;Life Sciences;Stress;Brain;Cortisol;Neurobiology;HPA Axis;Immune System;Depression;Hippocampus;Psychological;Adaptation
T10181;Statistical Machine Translation and Natural Language Processing;1702;Artificial Intelligence;17;Computer Science;3;Physical Sciences;Statistical Machine Translation;Neural Machine Translation;Dependency Parsing;Word Sense Disambiguation;Part-of-Speech Tagging;Corpus Linguistics;Syntax-based Translation Models;Multilingual Neural Machine Translation;Lexical Database;Language Modeling
T10814;Role of Neuropeptides in Physiology and Disease;2804;Cellular and Molecular Neuroscience;28;Neuroscience;1;Life Sciences;Neuropeptides;Receptors;Opioid;Calcitonin Gene-Related Peptide;Pituitary Adenylate Cyclase-Activating Polypeptide;Stress;Anxiety;Depression;Immune Modulation;Vasoactive Intestinal Peptide
T10190;Health Effects of Air Pollution;2307;Health, Toxicology and Mutagenesis;23;Environmental Science;3;Physical Sciences;Air Pollution;Particulate Matter;Health Effects;Global Burden of Disease;Cardiovascular Disease;Fine Particulate Air Pollution;Mortality;Exposure Assessment;Oxidative Stress;Epidemiological Studies
T11048;Ecology and Evolution of Viruses in Ecosystems;2303;Ecology;23;Environmental Science;3;Physical Sciences;Virus;Ecology;Bacteriophage;Metagenomics;Marine;Evolution;Therapy;Genomics;Microbiome;Nanoparticles
T10095;Cosmological Parameters and Dark Energy;3103;Astronomy and Astrophysics;31;Physics and Astronomy;3;Physical Sciences;Cosmological Parameters;Dark Energy;Cosmic Microwave Background;Inflation;Modified Gravity;Supernovae;Baryon Acoustic Oscillations;General Relativity;Hubble Constant;Scalar-Tensor Theories
T10184;Molecular Mechanisms of Plant Development and Regulation;1110;Plant Science;11;Agricultural and Biological Sciences;1;Life Sciences;Plant;Development;MicroRNA;Auxin;Gene Expression;Epigenetic Regulation;Transcription Factors;Genome-wide Analysis;Cytokinin Signaling;Flowering Time
T10007;Macroeconomic Analysis and Policy Implications;2000;General Economics, Econometrics and Finance;20;Economics, Econometrics and Finance;2;Social Sciences;Monetary Policy;Fiscal Policy;Economic Growth;Financial Development;Business Cycles;Panel Data Analysis;Interest Rates;Exchange Rates;Inflation Dynamics;Structural Change
T10235;Impact of Social Factors on Health Outcomes;3306;Health;33;Social Sciences;2;Social Sciences;Social Relationships;Socioeconomic Inequalities;Loneliness;Health Disparities;Neighborhood Effects;Mortality Risk;Social Support;Life Course Epidemiology;Health Equity;Public Health
T10583;The p53 Signaling Network in Cancer Research;2730;Oncology;27;Medicine;4;Health Sciences;p53;cell cycle;MDM2;tumor suppression;cancer therapy;apoptosis;CDKs;mutation;regulation;oncogene
T10023;Schizophrenia Research and Treatment;2738;Psychiatry and Mental health;27;Medicine;4;Health Sciences;Antipsychotic Drugs;Neurocognitive Deficits;Genetic Association Studies;Metabolic Syndrome;Neurodevelopmental Model;Cognitive Therapy;Social Cognition;Prodromal Symptoms;Dopamine Dysfunction;Neuroanatomical Abnormalities
T11871;Detection and Handling of Multicollinearity in Regression Analysis;2613;Statistics and Probability;26;Mathematics;3;Physical Sciences;Multicollinearity;Regression Analysis;Outlier Detection;Robust Estimation;Variance Inflation Factor;Principal Component Analysis;Relative Importance;Depth Functions;Robust Statistics;Functional Data
T10448;Neural Mechanisms of Memory Formation and Spatial Navigation;2805;Cognitive Neuroscience;28;Neuroscience;1;Life Sciences;Memory;Hippocampus;Navigation;Amygdala;Neural Circuits;Fear Conditioning;Spatial Representation;Neurobiology;Reconsolidation;Prefrontal Cortex
T11178;Structure and Function of G Protein-Coupled Receptors;1312;Molecular Biology;13;Biochemistry, Genetics and Molecular Biology;1;Life Sciences;Crystal Structure;G-Protein-Coupled Receptors;Signal Transduction;Arrestin;Pharmacology;Drug Discovery;Receptor Activation;Biased Signaling;Cell Signaling;Molecular Mechanisms
T10241;Analysis of Brain Functional Connectivity Networks;2805;Cognitive Neuroscience;28;Neuroscience;1;Life Sciences;Functional Connectivity;Resting-State fMRI;Default Mode Network;Brain Network Organization;Connectome;Neuroimaging Data Analysis;Cortical Parcellation;Graph Theory;Brain Network Development;Neurological Disorders
T10725;Mechanisms and Applications of RNA Interference;1312;Molecular Biology;13;Biochemistry, Genetics and Molecular Biology;1;Life Sciences;RNA Interference;siRNA Delivery;Gene Silencing;Non-viral Vectors;Therapeutic RNAi;Cell-penetrating Peptides;Lipid Nanoparticles;siRNA Therapeutics;Gene Therapy;Nucleic Acid Delivery
T10247;Perovskite Solar Cell Technology;2208;Electrical and Electronic Engineering;22;Engineering;3;Physical Sciences;Perovskite Solar Cells;Organometal Halide Perovskites;Photovoltaic Cells;Efficiency;Stability;Semiconductors;Light-Emitting Diodes;Crystal Growth;Charge Carrier Transport;Optoelectronic Materials
T10196;Mechanisms and Management of Neuropathic Pain;2737;Physiology;27;Medicine;4;Health Sciences;Neuropathic Pain;Central Sensitization;Nociception;Neuroinflammation;Pain Modulation;Glial Activation;Neuronal Plasticity;Chronic Pain;Hyperalgesia;Diabetic Neuropathy
